"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"1981","Protein Turandot A OS=Drosophila melanogaster GN=TotA PE=1 SV=1",6.827,6.543,6.303,6.625,6.681,10.999,7.467,8.479,8.584,8.75,2.26,0.015,"Protein Turandot A","TotA","up"
"2123","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Drosophila melanogaster GN=ND-B17.2 PE=1 SV=1",8.213,7.782,7.971,7.738,7.924,8.758,8.933,9.265,9.535,10.067,1.386,0.004,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12","ND-B17.2","up"
"2131","Protein Turandot C OS=Drosophila melanogaster GN=TotC PE=2 SV=1",6.439,6.499,6.289,6.784,6.54,10.687,8.007,9.02,8.77,9.249,2.636,0.004,"Protein Turandot C","TotC","up"
"2189","FI16628p1 OS=Drosophila melanogaster GN=CG18190-RB PE=1 SV=2",7.418,6.4,7.175,6.586,6.674,7.526,7.727,8.209,8.386,8.132,1.145,0.009,"FI16628p1","CG18190-RB","up"
"2243","GEO07190p1 OS=Drosophila melanogaster GN=ND-B18 PE=1 SV=1",7.117,6.029,6.46,6.269,6.536,6.964,7.483,8.18,8.702,9.381,1.66,0.018,"GEO07190p1","ND-B18","up"
"2245","Larval serum protein 1 alpha chain OS=Drosophila melanogaster GN=Lsp1alpha PE=2 SV=3",5.618,5.914,5.973,7.56,5.432,8.749,6.358,7.947,7.614,7.001,1.434,0.046,"Larval serum protein 1 alpha chain","Lsp1alpha","up"
"2285","Uncharacterized protein, isoform C OS=Drosophila melanogaster GN=CG10407 PE=1 SV=1",7.289,6.96,7.359,7.379,6.915,7.731,8.162,8.474,8.546,8.485,1.099,0.004,"Uncharacterized protein, isoform C","CG10407","up"
"2325","Cuticular protein 65Au, isoform A OS=Drosophila melanogaster GN=Cpr65Au PE=1 SV=2",6.986,5.573,6.377,5.593,6.282,6.21,6.679,7.613,8.105,8.732,1.306,0.053,"Cuticular protein 65Au, isoform A","Cpr65Au","up"
"2332","RH15675p OS=Drosophila melanogaster GN=CT37195 PE=1 SV=1",6.208,5.292,5.562,5.512,5.907,6.605,6.203,7.099,7.538,7.978,1.389,0.015,"RH15675p","CT37195","up"
"2453","LP14331p OS=Drosophila melanogaster GN=Mdr50 PE=1 SV=1",4.914,5.306,5.221,6.36,5.504,6.526,6.585,6.177,6.603,6.574,1.032,0.014,"LP14331p","Mdr50","up"
"2520","Myosin light chain alkali OS=Drosophila melanogaster GN=Mlc1 PE=1 SV=4",6.081,6.092,6.779,6.338,6.093,6.004,6.754,6.986,7.245,9.748,1.071,0.153,"Myosin light chain alkali","Mlc1","up"
"2647","Chloride intracellular channel, isoform A OS=Drosophila melanogaster GN=Clic PE=1 SV=1",6.624,5.734,6.215,5.745,6.423,6.157,6.366,7.431,8.147,9.063,1.285,0.069,"Chloride intracellular channel, isoform A","Clic","up"
"2708","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=Dmel\CG16826 PE=1 SV=1",6.753,6.437,6.495,6.392,6.934,6.666,6.657,7.201,7.924,9.844,1.056,0.132,"Uncharacterized protein, isoform A","Dmel\CG16826","up"
"2745","26S proteasome non-ATPase regulatory subunit 14 OS=Drosophila melanogaster GN=Rpn11 PE=1 SV=1",8.178,7.373,7.455,7.355,7.563,7.788,8.205,8.829,9.206,9.466,1.114,0.025,"26S proteasome non-ATPase regulatory subunit 14","Rpn11","up"
"2808","Chorion protein S15 OS=Drosophila melanogaster GN=Cp15 PE=3 SV=1",6.047,5.421,6.49,5.519,5.752,6.691,6.608,6.978,7.281,7.263,1.119,0.009,"Chorion protein S15","Cp15","up"
"2897","RNA-binding protein lark OS=Drosophila melanogaster GN=lark PE=1 SV=1",6.543,5.388,5.848,5.805,6.039,6.409,6.615,7.106,7.325,7.442,1.055,0.016,"RNA-binding protein lark","lark","up"
"2922","Mitochondrial ribosomal protein L27, isoform A OS=Drosophila melanogaster GN=mRpL27 PE=1 SV=1",6.418,5.297,5.948,5.885,6.013,6.088,6.457,7.006,7.407,7.741,1.028,0.032,"Mitochondrial ribosomal protein L27, isoform A","mRpL27","up"
"3034","CG8628, isoform A OS=Drosophila melanogaster GN=anon-SAGE:Wang-073 PE=1 SV=2",6.85,5.977,6.456,6.682,7.008,7,7.543,7.889,8.27,9.337,1.413,0.023,"CG8628, isoform A","anon-SAGE:Wang-073","up"
"3035","Histone H4 OS=Drosophila melanogaster GN=His4 PE=1 SV=2",6.158,4.392,5.134,4.701,4.926,5.766,6.15,6.612,7.072,7.698,1.597,0.019,"Histone H4","His4","up"
"3061","GEO11311p1 OS=Drosophila melanogaster GN=CG34215 PE=1 SV=1",6.275,5.873,6.198,5.819,6.316,7.295,6.937,6.995,7.204,7.281,1.046,0.001,"GEO11311p1","CG34215","up"
"3062","Uncharacterized protein OS=Drosophila melanogaster GN=CG43090 PE=4 SV=1",5.9,5.396,5.472,5.167,5.592,6.472,6.933,7.359,7.562,7.49,1.658,0.002,"Uncharacterized protein","CG43090","up"
"3140","Septin-1 OS=Drosophila melanogaster GN=Sep1 PE=1 SV=1",6.586,5.588,5.856,5.787,5.964,6.111,6.657,7.387,7.69,7.85,1.183,0.025,"Septin-1","Sep1","up"
"3201","Chorion protein S16 OS=Drosophila melanogaster GN=Cp16 PE=2 SV=2",5.073,2.799,4.758,4.569,4.239,5.268,5.567,6.369,7.074,7.015,1.971,0.018,"Chorion protein S16","Cp16","up"
"3207","GEO09424p1 OS=Drosophila melanogaster GN=Ubc6 PE=1 SV=1",5.671,4.481,4.848,4.336,4.995,5.014,5.638,6.435,6.858,7.222,1.367,0.032,"GEO09424p1","Ubc6","up"
"3216","NADH-ubiquinone oxidoreductase chain 5 OS=Drosophila melanogaster GN=mt:ND5 PE=3 SV=4",6.171,4.885,5.429,5.013,5.365,5.409,5.991,7.2,7.433,7.661,1.366,0.038,"NADH-ubiquinone oxidoreductase chain 5","mt:ND5","up"
"3221","GEO09647p1 OS=Drosophila melanogaster GN=CG12384 PE=1 SV=1",5.335,4.786,5.121,4.526,4.554,4.763,5.318,6.35,6.734,6.949,1.159,0.047,"GEO09647p1","CG12384","up"
"3288","Cytochrome b-c1 complex subunit 9 OS=Drosophila melanogaster GN=ox PE=3 SV=1",5.902,4.867,5.056,4.172,4.876,5.26,6.049,7.343,7.6,8.333,1.942,0.026,"Cytochrome b-c1 complex subunit 9","ox","up"
"3291","Tetraspanin OS=Drosophila melanogaster GN=Tsp42Ea PE=1 SV=1",5.245,3.409,4.187,3.688,4.582,4.594,4.852,6.075,6.649,7.221,1.656,0.038,"Tetraspanin","Tsp42Ea","up"
"3303","Uncharacterized protein, isoform C OS=Drosophila melanogaster GN=BcDNA:GM03875 PE=4 SV=1",5.508,4.074,5.139,4.643,4.818,4.93,5.649,6.343,6.858,6.409,1.201,0.033,"Uncharacterized protein, isoform C","BcDNA:GM03875","up"
"3392","CENP-ana, isoform A OS=Drosophila melanogaster GN=cana PE=3 SV=2",3.238,5.242,5.032,5.464,2.405,4.722,5.2,5.149,5.556,6.373,1.124,0.148,"CENP-ana, isoform A","cana","up"
"3404","RH48056p OS=Drosophila melanogaster GN=RpL34b PE=1 SV=1",7.69,6.148,6.926,6.549,6.76,7.144,7.622,8.156,8.538,9.302,1.338,0.03,"RH48056p","RpL34b","up"
"3451","Chorion protein S38 OS=Drosophila melanogaster GN=Cp38 PE=2 SV=1",7.282,6.069,7.255,6.877,6.472,7.9,8.384,8.683,8.521,8.295,1.566,0.004,"Chorion protein S38","Cp38","up"
"3505","Protein roadkill OS=Drosophila melanogaster GN=rdx PE=1 SV=2",6.53,5.437,6.244,6.051,6.405,7.11,7.191,7.279,7.377,7.065,1.071,0.005,"Protein roadkill","rdx","up"
"3564","GEO04710p1 OS=Drosophila melanogaster GN=NP15.6 PE=1 SV=1",5.022,4.233,4.545,3.934,5.278,4.644,5.257,5.978,7.338,8.829,1.807,0.065,"GEO04710p1","NP15.6","up"
"3706","UDP-glucuronosyltransferase OS=Drosophila melanogaster GN=Ugt35b PE=2 SV=1",5.655,3.624,3.518,4.745,4.466,4.555,5.278,6.674,7.151,7.881,1.906,0.044,"UDP-glucuronosyltransferase","Ugt35b","up"
"3720","Putative GPI-anchor transamidase OS=Drosophila melanogaster GN=PIG-K PE=2 SV=1",6.019,4.727,5.486,4.902,5.455,5.743,6.146,6.913,7.134,7.066,1.282,0.019,"Putative GPI-anchor transamidase","PIG-K","up"
"3773","LD12611p OS=Drosophila melanogaster GN=CG33099-RA PE=1 SV=1",4.013,2.943,3.476,1.822,3.582,2.888,4.232,4.843,4.902,5.116,1.229,0.07,"LD12611p","CG33099-RA","up"
"3874","Ady43A OS=Drosophila melanogaster GN=Ady43A PE=2 SV=1",5.499,5.265,5.121,5.396,5.425,6.484,6.468,6.607,6.405,6.428,1.137,0,"Ady43A","Ady43A","up"
"3924","GEO09637p1 OS=Drosophila melanogaster GN=RpL37A PE=2 SV=1",6.869,4.983,5.76,5.4,5.806,6.313,6.951,7.666,8.089,8.293,1.699,0.019,"GEO09637p1","RpL37A","up"
"3942","Homogentisate 1,2-dioxygenase OS=Drosophila melanogaster GN=hgo PE=2 SV=3",3.267,2.251,2.933,3.116,1.636,2.909,3.498,3.742,4.147,4.381,1.095,0.039,"Homogentisate 1,2-dioxygenase","hgo","up"
"4060","Troponin C at 73F, isoform C OS=Drosophila melanogaster GN=TpnC73F PE=4 SV=1",5.047,6.202,6.165,6.23,4.788,6.14,6.376,6.556,6.804,8.605,1.21,0.07,"Troponin C at 73F, isoform C","TpnC73F","up"
"4101","Ubiquitin-conjugating enzyme E2 C OS=Drosophila melanogaster GN=vih PE=1 SV=1",5.84,5.17,5.611,4.992,5.086,5.838,6.264,6.601,6.581,6.834,1.084,0.01,"Ubiquitin-conjugating enzyme E2 C","vih","up"
"4119","HDC00331 OS=Drosophila melanogaster GN=Dmel\CG34172 PE=1 SV=1",7.404,5.156,6.601,5.636,6.034,6.619,7.047,7.576,7.582,7.722,1.143,0.046,"HDC00331","Dmel\CG34172","up"
"4144","Glutathione S transferase D10, isoform A OS=Drosophila melanogaster GN=GstD10 PE=1 SV=1",3.905,4.392,4.238,3.966,4.308,5.985,5.691,5.802,5.755,5.672,1.619,0,"Glutathione S transferase D10, isoform A","GstD10","up"
"4172","Ras-related protein Ral-a OS=Drosophila melanogaster GN=Rala PE=1 SV=2",4.808,2.896,3.462,3.154,3.847,3.813,4.322,5.445,5.64,6.245,1.46,0.044,"Ras-related protein Ral-a","Rala","up"
"4192","FI06805p OS=Drosophila melanogaster GN=Rrp46 PE=1 SV=3",4.324,3.323,4.079,3.038,3.221,4.311,4.114,4.843,5.455,5.746,1.296,0.025,"FI06805p","Rrp46","up"
"4195","Chorion protein S18 OS=Drosophila melanogaster GN=Cp18 PE=2 SV=2",5.483,3.977,5.62,5.685,4.466,5.846,6.169,6.483,6.694,6.281,1.248,0.023,"Chorion protein S18","Cp18","up"
"4248","Dro4 protein OS=Drosophila melanogaster GN=Drsl4 PE=2 SV=1",2.788,1.773,0.125,0.775,2.011,2.757,3.437,3.807,3.408,4.746,2.137,0.016,"Dro4 protein","Drsl4","up"
"4280","Vitelline membrane protein Vm26Aa OS=Drosophila melanogaster GN=Vm26Aa PE=2 SV=1",6.15,4.792,6.03,5.778,5.397,8.028,7.067,6.811,6.86,7.426,1.609,0.008,"Vitelline membrane protein Vm26Aa","Vm26Aa","up"
"4294","Aquaporin OS=Drosophila melanogaster GN=AQP PE=2 SV=1",4.677,3.885,3.674,3.799,4.349,4.35,4.997,5.483,5.658,5.876,1.196,0.018,"Aquaporin","AQP","up"
"4297","Adipokinetic hormone OS=Drosophila melanogaster GN=Akh PE=1 SV=1",4.445,1.873,3.649,2.822,3.511,3.711,4.622,5.355,5.51,5.819,1.744,0.028,"Adipokinetic hormone","Akh","up"
"4373","CG9344 OS=Drosophila melanogaster GN=CG9344 PE=1 SV=1",6.022,5.242,5.514,5.107,5.421,5.538,6.207,6.92,7.18,7.327,1.173,0.025,"CG9344","CG9344","up"
"4416","Larval cuticle protein 8 OS=Drosophila melanogaster GN=Lcp65Ag1 PE=1 SV=1",1.338,1.288,3.032,2.89,1.051,5.87,5.937,6.1,6.116,6.514,4.188,0,"Larval cuticle protein 8","Lcp65Ag1","up"
"4458","CG6337, isoform A OS=Drosophila melanogaster GN=CG6337 PE=2 SV=1",2.886,0.966,0.973,1.623,0.882,1.587,3.167,5.205,3.32,4.281,2.046,0.033,"CG6337, isoform A","CG6337","up"
"4468","General transcription factor IIH subunit 4 OS=Drosophila melanogaster GN=mrn PE=1 SV=1",1.886,1.721,1.558,1.868,2.74,4.206,3.387,3.002,2.89,2.819,1.306,0.014,"General transcription factor IIH subunit 4","mrn","up"
"4489","CG6191, isoform C OS=Drosophila melanogaster GN=CG6191 PE=4 SV=1",1.808,2.896,2.933,1.328,1.341,3.638,3.412,3.582,3.73,3.491,1.509,0.012,"CG6191, isoform C","CG6191","up"
"4492","GEO08910p1 OS=Drosophila melanogaster GN=Kaz1-ORFB PE=2 SV=1",1.638,1.489,2.686,2.116,2.969,1.867,2.796,3.816,3.721,4.254,1.111,0.077,"GEO08910p1","Kaz1-ORFB","up"
"4549","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=CG45089 PE=4 SV=1",4.563,4.466,4.196,3.623,4.547,4.075,4.498,5.597,6.282,7.141,1.24,0.082,"Uncharacterized protein, isoform A","CG45089","up"
"4596","Cuticular protein 64Aa OS=Drosophila melanogaster GN=Cpr64Aa PE=2 SV=1",3.432,3.074,3.531,3.438,3.071,3.335,3.308,4.454,5.095,5.817,1.092,0.074,"Cuticular protein 64Aa","Cpr64Aa","up"
"4628","Dorothy, isoform A OS=Drosophila melanogaster GN=Dot PE=1 SV=3",4.598,3.799,3.891,3.376,3.788,4.357,4.742,5.219,5.483,5.149,1.099,0.015,"Dorothy, isoform A","Dot","up"
"4665","Mannose-P-dolichol utilization defect 1 protein homolog OS=Drosophila melanogaster GN=CG3792 PE=2 SV=2",1.886,1.92,1.933,2.154,2.011,1.365,2.567,3.327,3.82,4.274,1.09,0.08,"Mannose-P-dolichol utilization defect 1 protein homolog","CG3792","up"
"4693","FIG4 phosphoinositide 5-phosphatase OS=Drosophila melanogaster GN=FIG4 PE=2 SV=1",3.13,1.053,2.848,0.569,3.091,2.97,3.211,4.215,4.434,4.655,1.759,0.039,"FIG4 phosphoinositide 5-phosphatase","FIG4","up"
"4731","ADP-ribosylation factor-like protein 1 OS=Drosophila melanogaster GN=Arl1 PE=2 SV=5",5.493,4.652,5.377,4.319,4.682,5.061,5.465,6.205,6.655,6.499,1.072,0.036,"ADP-ribosylation factor-like protein 1","Arl1","up"
"4756","Mitochondrial ribosomal protein S11 OS=Drosophila melanogaster GN=mRpS11 PE=1 SV=1",6.362,4.417,5.191,4.278,4.758,5.111,6.451,7.28,7.739,8.181,1.951,0.03,"Mitochondrial ribosomal protein S11","mRpS11","up"
"4783","Fat-body protein 1 OS=Drosophila melanogaster GN=Fbp1 PE=2 SV=2",3.064,3.707,3.433,6.256,3.436,7.57,4.288,6.256,5.4,4.404,1.604,0.106,"Fat-body protein 1","Fbp1","up"
"4795","CG8329 OS=Drosophila melanogaster GN=SP170 PE=3 SV=1",1.96,1.92,1.388,3.018,1.836,3.189,2.654,3.195,2.642,3.546,1.021,0.025,"CG8329","SP170","up"
