#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:21126519	(2011) Tropomyosin is an interaction partner of the Drosophila coiled coil protein yuri gagarin.	10	20	1.87	2.70e-11	7227.FBpp0071448,7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0073682,7227.FBpp0075491,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0290753	Act57B,Lsp1gamma,Lsp1alpha,up,Fbp1,Mhc,Tm2,Tm1,chic,Rtnl1
PMID:20031601	(2009) Clinical and functional characterization of TNNT2 mutations identified in patients with dilated cardiomyopathy.	6	9	1.99	2.75e-07	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Mhc,Tm2,TpnC73F,Tm1
PMID:12750333	(2003) Suppression of muscle hypercontraction by mutations in the myosin heavy chain gene of Drosophila melanogaster.	6	9	1.99	2.75e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Tm1
PMID:10402470	(1999) Genomic organization, expression, and analysis of the troponin C gene pat-10 of Caenorhabditis elegans.	6	9	1.99	2.75e-07	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0076320,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Prm,Tm2,TpnC73F,Tm1
PMID:15186491	(2004) A survey of ovary-, testis-, and soma-biased gene expression in Drosophila melanogaster adults.	8	37	1.51	3.17e-07	7227.FBpp0071150,7227.FBpp0075491,7227.FBpp0076298,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0289676	Cp36,Fbp1,Cp18,Cp15,Cp16,Tm2,Tm1,Cp38
PMID:25324783	(2014) Alterations in thin filament length during postnatal skeletal muscle development and aging in mice.	6	10	1.95	3.28e-07	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0297625	zip,Mhc,Tm2,Tm1,chic,tmod
PMID:29687901	(2018) Thick Filament Protein Network, Functions, and Disease Association.	9	59	1.35	3.47e-07	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0075272,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Arl1,Prm,Mhc,Tm2,Mlc1,TpnC73F,Tm1
PMID:22410209	(2011) Not all shellfish 'allergy' is allergy!	6	11	1.91	4.49e-07	7227.FBpp0072306,7227.FBpp0076270,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,Argk,Mhc,Tm2,Mlc1,Tm1
PMID:31178892	(2019) Dicyemida and Orthonectida: Two Stories of Body Plan Simplification.	8	41	1.46	5.11e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904,7227.FBpp0100182	zip,up,wupA,Mhc,Tm2,TpnC73F,Tm1,mt:ND5
PMID:12796475	(2003) Requirement of transcription factor NFAT in developing atrial myocardium.	7	24	1.64	5.11e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,TpnC73F,Tm1
PMID:28903042	(2017) Distortion of the Actin A-Triad Results in Contractile Disinhibition and Cardiomyopathy.	6	12	1.87	5.74e-07	7227.FBpp0071448,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	Act57B,up,wupA,Tm2,TpnC73F,Tm1
PMID:23938214	(2013) Environmental assessment and exposure reduction of cockroaches: a practice parameter.	6	12	1.87	5.74e-07	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	zip,Mhc,Tm2,Mlc1,TpnC73F,Tm1
PMID:20737540	(2010) Dynamic regulation of sarcomeric actin filaments in striated muscle.	7	25	1.62	5.74e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0297625	zip,up,Mhc,Tm2,Tm1,chic,tmod
PMID:30365920	(2019) The Ciona myogenic regulatory factor functions as a typical MRF but possesses a novel N-terminus that is essential for activity.	6	13	1.84	7.30e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565	zip,up,wupA,Mhc,Tm2,Mlc1
PMID:23828180	(2013) Tropomodulins and tropomyosins: working as a team.	6	13	1.84	7.30e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0297625	zip,up,Mhc,Tm2,Tm1,tmod
PMID:22008792	(2012) Differential requirements for Myocyte Enhancer Factor-2 during adult myogenesis in Drosophila.	7	27	1.58	7.76e-07	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0088546,7227.FBpp0088904	Act57B,zip,up,Prm,Mhc,TpnC73F,Tm1
PMID:31292801	(2019) Through thick and thin: dual regulation of insect flight muscle and cardiac muscle compared.	6	14	1.8	9.21e-07	7227.FBpp0073682,7227.FBpp0076320,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	up,Prm,Tm2,Mlc1,TpnC73F,Tm1
PMID:26641463	(2015) Expression of the Troponin C at 41C Gene in Adult Drosophila Tubular Muscles Depends upon Both Positive and Negative Regulatory Inputs.	6	14	1.8	9.21e-07	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535	Act57B,zip,up,Prm,Mhc,Tm2
PMID:20625489	(2010) Comparative biomechanics of thick filaments and thin filaments with functional consequences for muscle contraction.	6	14	1.8	9.21e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,up,Prm,Mhc,Tm2,Tm1
PMID:21124995	(2010) Sarcomere formation occurs by the assembly of multiple latent protein complexes.	7	28	1.57	9.21e-07	7227.FBpp0071448,7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	Act57B,zip,up,wupA,Tm2,TpnC73F,Tm1
PMID:19181102	(2008) Other model organisms for sarcomeric muscle diseases.	6	14	1.8	9.21e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Tm1
PMID:9832549	(1998) Ca2+-dependent muscle dysfunction caused by mutation of the Caenorhabditis elegans troponin T-1 gene.	6	14	1.8	9.21e-07	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Tm1
PMID:18683964	(2008) Proteome response to the panneural expression of human wild-type alpha-synuclein: a Drosophila model of Parkinson's disease.	7	29	1.55	9.39e-07	7227.FBpp0072365,7227.FBpp0073110,7227.FBpp0073484,7227.FBpp0073682,7227.FBpp0075491,7227.FBpp0088363,7227.FBpp0290753	Lsp1gamma,Cpr64Aa,Lsp1alpha,up,Fbp1,Lsp2,Rtnl1
PMID:20965144	(2011) Troponin T isoforms and posttranscriptional modifications: Evolution, regulation and function.	6	15	1.77	1.02e-06	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,wupA,Mhc,Tm2,TpnC73F,Tm1
PMID:28964844	(2017) Coupling between myosin head conformation and the thick filament backbone structure.	5	6	2.09	1.32e-06	7227.FBpp0073682,7227.FBpp0076320,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	up,Prm,Tm2,Mlc1,Tm1
PMID:26864628	(2016) Two distinct myosin II populations coordinate ovulatory contraction of the myoepithelial sheath in the Caenorhabditis elegans somatic gonad.	6	16	1.74	1.32e-06	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0076320,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,wupA,Prm,Tm2,Mlc1,Tm1
PMID:27044649	(2016) Analysis of Differential Proteins in Two Wing-Type Females of Sogatella furcifera (Hemiptera: Delphacidae).	6	16	1.74	1.32e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565	zip,up,wupA,Mhc,Tm2,Mlc1
PMID:24218011	(2014) Transcriptional networks regulating the costamere, sarcomere, and other cytoskeletal structures in striated muscle.	7	31	1.52	1.32e-06	7227.FBpp0071448,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	Act57B,up,wupA,Mhc,Tm2,Mlc1,Tm1
PMID:18612386	(2008) The role of cardiac troponin T quantity and function in cardiac development and dilated cardiomyopathy.	6	16	1.74	1.32e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Mhc,Tm2,TpnC73F,Tm1
PMID:18984629	(2008) Sarcomeric actin organization is synergistically promoted by tropomodulin, ADFcofilin, AIP1 and profilin in C. elegans.	6	16	1.74	1.32e-06	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196,7227.FBpp0297625	zip,Mhc,Tm2,Tm1,chic,tmod
PMID:15051736	(2004) Characterization of a hypercontraction-induced myopathy in Drosophila caused by mutations in Mhc.	6	16	1.74	1.32e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546	zip,up,wupA,Mhc,Tm2,TpnC73F
PMID:19656392	(2009) Effects of 28 days of resistance exercise and consuming a commercially available pre-workout supplement, NO-Shotgun(R), on body composition, muscle strength and mass, markers of satellite cell activation, and clinical safety markers in males.	6	17	1.72	1.52e-06	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	zip,Mhc,Tm2,Mlc1,TpnC73F,Tm1
PMID:29869751	(2018) Actin-associated proteins and cardiomyopathy-the 'unknown' beyond troponin and tropomyosin.	7	33	1.5	1.57e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904,7227.FBpp0089196	up,wupA,Mhc,Tm2,TpnC73F,Tm1,chic
PMID:24002365	(2013) Reduced insulininsulin-like growth factor-1 signaling and dietary restriction inhibit translation but preserve muscle mass in Caenorhabditis elegans.	6	18	1.69	1.89e-06	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0089196	zip,wupA,Mhc,Tm2,Tm1,chic
PMID:6802813	(1982) Identification of Drosophila indirect flight muscle myofibrillar proteins by means of two-dimensional electrophoresis.	5	7	2.02	1.89e-06	7227.FBpp0072306,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,Prm,Mhc,Tm2,Tm1
PMID:23981317	(2013) Genes involved in thoracic exoskeleton formation during the pupal-to-adult molt in a social insect model, Apis mellifera.	7	35	1.47	2.11e-06	7227.FBpp0072306,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	zip,Prm,Mhc,Tm2,Mlc1,TpnC73F,Tm1
PMID:27357258	(2016) Cold acclimation wholly reorganizes the Drosophila melanogaster transcriptome and metabolome.	7	36	1.46	2.35e-06	7227.FBpp0072306,7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0073682,7227.FBpp0080452,7227.FBpp0082476,7227.FBpp0088546	zip,Lsp1gamma,Lsp1alpha,up,Mhc,smp-30,TpnC73F
PMID:20520827	(2010) CF2 represses Actin 88F gene expression and maintains filament balance during indirect flight muscle development in Drosophila.	6	19	1.67	2.35e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0088904	zip,up,wupA,Prm,Mhc,Tm1
PMID:12642615	(2003) Drosophila paramyosin is important for myoblast fusion and essential for myofibril formation.	6	19	1.67	2.35e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535	zip,up,wupA,Prm,Mhc,Tm2
PMID:32024695	(2020) The glutamic acid-rich-long C-terminal extension of troponin T has a critical role in insect muscle functions.	5	8	1.97	2.69e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:25400584	(2014) X-ray diffraction from flight muscle with a headless myosin mutation: implications for interpreting reflection patterns.	5	8	1.97	2.69e-06	7227.FBpp0072306,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,Prm,Mhc,Tm2,Tm1
PMID:18951904	(2008) Three-dimensional reconstruction of tarantula myosin filaments suggests how phosphorylation may regulate myosin activity.	5	8	1.97	2.69e-06	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,Mhc,Tm2,Mlc1,Tm1
PMID:17603127	(2007) Aberrant splicing of an alternative exon in the Drosophila troponin-T gene affects flight muscle development.	5	8	1.97	2.69e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:27174949	(2016) Mechanical Regulation of Cardiac Aging in Model Systems.	6	21	1.63	3.39e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,up,Mhc,Tm2,Mlc1,Tm1
PMID:24418317	(2014) Ca(2+)-regulatory function of the inhibitory peptide region of cardiac troponin I is aided by the C-terminus of cardiac troponin T: Effects of familial hypertrophic cardiomyopathy mutations cTnI R145G and cTnT R278C, alone and in combination, ...	5	9	1.92	3.78e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:24458371	(2014) Altered proteostasis in aging and heat shock response in C. elegans revealed by analysis of the global and de novo synthesized proteome.	7	40	1.41	3.93e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0076207,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,up,RpS17,Mhc,Tm2,Mlc1,Tm1
PMID:18226200	(2008) Systematic sequencing of mRNA from the Antarctic krill (Euphausia superba) and first tissue specific transcriptional signature.	7	41	1.4	4.49e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Mlc1,Tm1
PMID:32182250	(2020) Infantile restrictive cardiomyopathy: cTnI-R170GW impair the interplay of sarcomeric proteins and the integrity of thin filaments.	5	10	1.87	5.35e-06	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,wupA,Mhc,Tm2,Tm1
PMID:29853187	(2018) Egg Coat Proteins Across Metazoan Evolution.	5	10	1.87	5.35e-06	7227.FBpp0071150,7227.FBpp0076298,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0289676	Cp36,Cp18,Cp15,Cp16,Cp38
PMID:30540249	(2018) Muscle-specific stress fibers give rise to sarcomeres in cardiomyocytes.	5	10	1.87	5.35e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,up,Mhc,Tm2,Tm1
PMID:28243699	(2017) Deciphering the BAR code of membrane modulators.	7	43	1.38	5.35e-06	7227.FBpp0072365,7227.FBpp0073484,7227.FBpp0075272,7227.FBpp0075491,7227.FBpp0082535,7227.FBpp0088363,7227.FBpp0088904	Lsp1gamma,Lsp1alpha,Arl1,Fbp1,Tm2,Lsp2,Tm1
PMID:27226601	(2016) Toward Understanding the Molecular Bases of Stretch Activation: A STRUCTURAL COMPARISON OF THE TWO TROPONIN C ISOFORMS OF LETHOCERUS.	5	10	1.87	5.35e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:25797474	(2015) Myofilament proteins in the synchronous flight muscles of Manduca sexta show both similarities and differences to Drosophila melanogaster.	5	10	1.87	5.35e-06	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0088546,7227.FBpp0088904	zip,wupA,Mhc,TpnC73F,Tm1
PMID:21680742	(2011) Two Drosophila myosin transducer mutants with distinct cardiomyopathies have divergent ADP and actin affinities.	5	10	1.87	5.35e-06	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,wupA,Mhc,Tm2,Tm1
PMID:10385527	(1999) Thin filament protein dynamics in fully differentiated adult cardiac myocytes: toward a model of sarcomere maintenance.	5	10	1.87	5.35e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:26823289	(2016) E2F function in muscle growth is necessary and sufficient for viability in Drosophila.	7	44	1.37	6.00e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0271901,7227.FBpp0291653	zip,up,Mhc,Tm2,Tm1,ND-B17.2,RpL30
PMID:32224496	(2020) Biomarkers for Duchenne muscular dystrophy: myonecrosis, inflammation and oxidative stress.	5	11	1.83	6.65e-06	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,Mhc,Tm2,Mlc1,Tm1
PMID:29596868	(2018) Troponin T3 associates with DNA consensus sequence that overlaps with p53 binding motifs.	5	11	1.83	6.65e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:26849746	(2016) Molecular evolution of troponin I and a role of its N-terminal extension in nematode locomotion.	5	11	1.83	6.65e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:23299957	(2013) A two-segment model for thin filament architecture in skeletal muscle.	5	11	1.83	6.65e-06	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904,7227.FBpp0297625	zip,Mhc,Tm2,Tm1,tmod
PMID:21483679	(2011) Molecular correlates of social dominance: a novel role for ependymin in aggression.	6	25	1.55	6.65e-06	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0084959,7227.FBpp0088904	zip,Mhc,Tm2,Mlc1,RpL32,Tm1
PMID:20572259	(2010) Focal adhesion kinase is essential for cardiac looping and multichamber heart formation.	6	25	1.55	6.65e-06	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,up,wupA,Mhc,Tm2,Tm1
PMID:29416706	(2018) Troponin through the looking-glass: emerging roles beyond regulation of striated muscle contraction.	5	12	1.79	8.67e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:27857589	(2011) Structure, function and evolution of insect flight muscle.	5	12	1.79	8.67e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:23916425	(2014) Investigating cockroach allergens: aiming to improve diagnosis and treatment of cockroach allergic patients.	6	27	1.52	8.84e-06	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,Mlc1,TpnC73F,Tm1
PMID:19463195	(2009) Gene expression during Drosophila melanogaster egg development before and after reproductive diapause.	6	27	1.52	8.84e-06	7227.FBpp0071150,7227.FBpp0076298,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0289676,7227.FBpp0305434	Cp36,Cp18,Cp15,Cp16,Cp38,Vm26Aa
PMID:29314608	(2018) UNC-120SRF independently controls muscle aging and lifespan in Caenorhabditis elegans.	5	13	1.76	1.13e-05	7227.FBpp0072306,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0084565,7227.FBpp0088904	zip,Mhc,Tm2,Mlc1,Tm1
PMID:29437146	(2018) Histone deacetylase activity governs diastolic dysfunction through a nongenomic mechanism.	5	13	1.76	1.13e-05	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,wupA,Mhc,Tm2,Tm1
PMID:29496965	(2018) Tropomyosin isoforms differentially affect muscle contractility in the head and body regions of the nematode Caenorhabditis elegans.	5	13	1.76	1.13e-05	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	up,wupA,Tm2,TpnC73F,Tm1
PMID:28246639	(2017) Biophysical properties of human Beta-cardiac myosin with converter mutations that cause hypertrophic cardiomyopathy.	5	13	1.76	1.13e-05	7227.FBpp0072306,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088904	zip,wupA,Mhc,Tm2,Tm1
PMID:24023665	(2013) Proteomic changes between male and female worms of the polychaetous annelid Neanthes arenaceodentata before and after spawning.	6	29	1.49	1.19e-05	7227.FBpp0072306,7227.FBpp0076320,7227.FBpp0080452,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904	zip,Prm,Mhc,Tm2,TpnC73F,Tm1
PMID:22479576	(2012) Drosophila muscleblind codes for proteins with one and two tandem zinc finger motifs.	6	29	1.49	1.19e-05	7227.FBpp0072306,7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0080452,7227.FBpp0088546,7227.FBpp0297625	zip,up,wupA,Mhc,TpnC73F,tmod
PMID:31952119	(2020) Assembly and Maintenance of Sarcomere Thin Filaments and Associated Diseases.	6	30	1.47	1.38e-05	7227.FBpp0073682,7227.FBpp0074298,7227.FBpp0082535,7227.FBpp0088546,7227.FBpp0088904,7227.FBpp0089196	up,wupA,Tm2,TpnC73F,Tm1,chic
PMID:32019091	(2020) Painting of Fourth and the X-Linked 1.688 Satellite in D. melanogaster is Involved in Chromosome-Wide Gene Regulation.	6	30	1.47	1.38e-05	7227.FBpp0071150,7227.FBpp0076298,7227.FBpp0076299,7227.FBpp0076301,7227.FBpp0289676,7227.FBpp0305434	Cp36,Cp18,Cp15,Cp16,Cp38,Vm26Aa
