#submitted_item	validated_id	current_symbol
Cat	FBal0015987	sv[spa-Cat]
Cat	FBgn0000303	ChAT
Cat	FBgn0005561	sv
Cat	FBtp0137331	P{UAS-Parp.Cat.EYFP}
SdhA	FBgn0261439	SdhA
ND-75	FBgn0017566	ND-75
ATPCL	FBgn0020236	ATPCL
ATPCL	FBgn0020236	ATPCL
TER94	FBgn0286784	TER94
CLIP-190	FBgn0020503	CLIP-190
GluProRS	FBgn0005674	GluProRS
CG9485	FBgn0034618	CG9485
vig	FBgn0024183	vig
CG9485	FBgn0034618	CG9485
Tps1	FBgn0027560	Tps1
Prm	FBgn0003149	Prm
Gapdh1	FBgn0001091	Gapdh1
Act42A	FBgn0000043	Act42A
dpy	FBgn0053196	dpy
dpy	FBgn0005025	dumpyoidy
mgl	FBgn0261260	mgl
clu	FBgn0034087	clu
clu	FBgn0264442	ab
ATPsyngamma	FBgn0020235	ATPsynÎ³
lva	FBgn0029688	lva
Gdh	FBgn0001098	Gdh
Gdh	FBgn0001128	Gpdh1
Khc	FBgn0001308	Khc
Vha68-2	FBgn0263598	Vha68-2
Df31	FBgn0022893	Df31
Vinc	FBgn0004397	Vinc
Tudor-SN	FBgn0035121	Tudor-SN
eIF3-S10	FBgn0037249	eIF3a
Uba1	FBgn0023143	Uba1
larp	FBgn0261618	larp
Lmpt	FBgn0261565	Lmpt
Act57B	FBgn0000044	Act57B
FASN2	FBgn0042627	FASN2
LManVI	FBgn0032069	LManVI
CG43078	FBgn0262508	CG43078
Pfk	FBgn0003071	Pfk
Pfk	FBgn0035405	CG15812
LManV	FBgn0032068	LManV
Vps13	FBgn0033194	Vps13
l(2)01289	FBal0007968	hlk[01289]
l(2)01289	FBgn0010482	hlk
CG30122	FBgn0050122	CG30122
Cyp4g1	FBgn0010019	Cyp4g1
UGP	FBgn0035978	UGP
dec-1	FBgn0000427	dec
CG5028	FBgn0039358	Idh3g
Lmpt	FBgn0261565	Lmpt
CG1910	FBgn0022349	CG1910
bnb	FBgn0001090	bnb
CG1648	FBgn0033446	CG1648
UQCR-C1	FBgn0038271	UQCR-C1
Aats-ala	FBgn0027094	AlaRS
sesB	FBgn0003360	sesB
CCT7	FBgn0037632	CCT7
Gdh	FBgn0001098	Gdh
Gdh	FBgn0001128	Gpdh1
CG7920	FBgn0039737	CG7920
ValRS	FBgn0027079	ValRS
Hop	FBgn0004864	hop
Hop	FBgn0024352	Stip1
l(1)G0156	FBal0098184	Idh3a[G0156]
l(1)G0156	FBgn0027291	Idh3a
Pgm	FBgn0003076	Pgm1
DppIII	FBgn0037580	DppIII
alt	FBgn0038535	alt
Aldh	FBgn0012036	Aldh
Tm2	FBgn0004117	Tm2
pug	FBgn0020385	pug
axo	FBgn0262870	axo
AGBE	FBgn0053138	AGBE
Hsc70-3	FBgn0001218	Hsc70-3
Lam	FBgn0002525	Lam
Lam	FBgn0002526	LanA
ninaC	FBgn0002938	ninaC
LanB2	FBgn0267348	LanB2
CG7470	FBgn0037146	P5CS
Rpn2	FBgn0028692	Rpn2
mEFTu1	FBgn0024556	mEFTu1
Tsf1	FBgn0022355	Tsf1
Arr2	FBgn0000121	Arr2
Akap200	FBgn0027932	Akap200
Zasp52	FBgn0265991	Zasp52
Gp93	FBgn0039562	Gp93
LanB1	FBgn0261800	LanB1
CG6439	FBgn0038922	Idh3b
Mitofilin	FBgn0019960	Mitofilin
ThrRS	FBgn0027081	ThrRS
Mtpalpha	FBgn0028479	MtpÎ±
EG:25E8.1	FBgn0023529	CG2918
CG7461	FBgn0034432	CG7461
l(1)G0334	FBal0100317	Pdha[G0334]
l(1)G0334	FBgn0028325	Pdha
chp	FBgn0267435	chp
chp	FBgn0029503	mora
CG44245	FBgn0265180	CG44245
Idh	FBgn0001248	Idh
Idh	FBgn0038922	Idh3b
Cctgamma	FBgn0015019	CCT3
faf	FBgn0005632	faf
CG17514	FBgn0287182	l(3)80Fj
Pgi	FBgn0003074	Pgi
Mfe2	FBgn0030731	Mfe2
Mdh2	FBgn0262559	Mdh2
Mdh2	FBgn0262782	Mdh1
coro	FBgn0265935	coro
CG11089	FBgn0039241	CG11089
RpL3	FBgn0020910	RpL3
CG9297-RA	FBtr0082827	CG9297-RA
tyf	FBgn0026083	tyf
CCT5	FBgn0010621	CCT5
alphaTub84B	FBgn0003884	Î±Tub84B
CG30069	FBgn0050069	Sdb
CG13185	FBgn0033661	CG13185
shi	FBgn0003392	shi
Fas1	FBgn0285925	Fas1
Irp-1B	FBgn0024957	Irp-1B
14-3-3epsilon	FBgn0020238	14-3-3Îµ
CCT8	FBgn0284436	CCT8
Karybeta3	FBgn0087013	KaryÎ²3
lig	FBgn0020279	lig
Tpi	FBgn0086355	Tpi
Fas1	FBgn0285925	Fas1
P5CDh1	FBgn0037138	P5CDh1
tn	FBgn0265356	tn
14-3-3zeta	FBgn0004907	14-3-3Î¶
Fas1	FBgn0285925	Fas1
T-cp1	FBgn0003676	CCT1
Adh	FBgn0000055	Adh
Letm1	FBgn0284252	Letm1
slgA	FBgn0003423	slgA
Men-b	FBgn0029155	Men-b
Opa1	FBgn0261276	Opa1
Fim	FBgn0024238	Fim
ATPsynD	FBgn0016120	ATPsynD
IleRS	FBgn0027086	IleRS
Trap1	FBgn0026761	Trap1
ade5	FBgn0020513	Paics
Cpr	FBgn0015623	Cpr
Fim	FBgn0024238	Fim
CG7430	FBgn0036762	CG7430
LamC	FBgn0010397	LamC
Acsl	FBgn0263120	Acsl
Cont	FBgn0037240	Cont
alphaCOP	FBgn0025725	Î±COP
Fmr1	FBgn0028734	Fmr1
Vha68-1	FBgn0265262	Vha68-1
Psa	FBgn0261243	Psa
AOX3	FBgn0038349	AOX3
CG6512	FBgn0036702	Afg3l2
l(2)01289	FBal0007968	hlk[01289]
l(2)01289	FBgn0010482	hlk
Moe	FBgn0011661	Moe
Pxt	FBgn0261987	Pxt
bel	FBgn0263231	bel
Mdh1	FBgn0262782	Mdh1
Rack1	FBgn0020618	Rack1
uif	FBgn0031879	uif
AspRS	FBgn0002069	AspRS
muc	FBgn0283658	muc
l(2)01289	FBal0007968	hlk[01289]
l(2)01289	FBgn0010482	hlk
comt	FBgn0000346	comt
CG10254	FBgn0027512	CG10254
NAT1	FBgn0010488	NAT1
NAT1	FBgn0031020	Naa15-16
NAT1	FBgn0287831	speck
CCT4	FBgn0032444	CCT4
Rop	FBgn0004574	Rop
GCS2alpha	FBgn0027588	GCS2Î±
yps	FBgn0022959	yps
Rbcn-3A	FBgn0023458	Rbcn-3A
r	FBgn0003189	r
PPO1	FBgn0283437	PPO1
RpL4	FBgn0003279	RpL4
skap	FBgn0037643	ScsÎ²A
flr	FBgn0260049	flr
trp	FBgn0003861	trp
Apoltp	FBgn0032136	Apoltp
Pglym78	FBgn0014869	Pglym78
Nrg	FBgn0264975	Nrg
RpS3	FBgn0002622	RpS3
eEF1alpha1	FBgn0284245	eEF1Î±1
RpL9	FBgn0015756	RpL9
CG1371	FBgn0033482	CG1371
betaTub97EF	FBgn0003890	Î²Tub97EF
shi	FBgn0003392	shi
Gasp	FBgn0026077	Gasp
34F4T	FBgn0086254	Akr1B
Map205	FBgn0002645	Map205
Gdi	FBgn0004868	Gdi
Mcr	FBgn0267488	Mcr
Jabba	FBgn0259682	Jabba
Akap200	FBgn0027932	Akap200
SdhB	FBgn0014028	SdhB
Vha100-1	FBgn0028671	Vha100-1
CCT2	FBgn0030086	CCT2
CCT2	FBgn0035231	Pcyt2
GH26	FBgn0032350	CG6287
ade3	FBgn0000053	Gart
l(1)G0255	FBal0100328	Fum1[G0255]
l(1)G0255	FBgn0286222	Fum1
PPO2	FBgn0033367	PPO2
Jabba	FBgn0259682	Jabba
hyd	FBgn0002431	hyd
msps	FBgn0027948	msps
CG17896	FBgn0023537	CG17896
ERp60	FBgn0033663	ERp60
cup	FBgn0000392	cup
cup	FBgn0051858	t-cup
eIF3c	FBgn0034258	eIF3c
vig2	FBgn0046214	vig2
CG12262	FBgn0035811	Mcad
CG4538	FBgn0038745	ClpX
su(r)	FBgn0086450	su(r)
ade2	FBgn0000052	Pfas
AOX1	FBgn0267408	AOX1
yip2	FBgn0040064	yip2
Past1	FBgn0016693	Past1
rin	FBgn0015778	rin
Ank2	FBgn0261788	Ank2
Ssadh	FBgn0039349	Ssadh
sle	FBgn0037810	sle
RpS4	FBgn0011284	RpS4
Scp1	FBgn0020908	Scp1
CG1703	FBgn0030321	CG1703
CG1640	FBgn0030478	CG1640
Usp5	FBgn0035402	Usp5
Myo61F	FBgn0010246	Myo61F
CRAT	FBgn0037440	CRAT
CRAT	FBgn0038486	CG5265
Prp8	FBgn0033688	Prp8
kis	FBgn0266557	kis
Sod	FBgn0003462	Sod1
Sod	FBgn0010213	Sod2
Rpt5	FBgn0028684	Rpt5
OstDelta	FBgn0034277	OstÎ
Cp190	FBgn0000283	Cp190
Rpn3	FBgn0261396	Rpn3
ND-51	FBgn0031771	ND-51
Cyt-c1	FBgn0035600	Cyt-c1
Cyt-c1	FBgn0086907	Cyt-c-d
Vha100-2	FBgn0028670	Vha100-2
eEF1gamma	FBgn0029176	eEF1Î³
Dys	FBgn0260003	Dys
Dys	FBgn0039411	dysf
Hsc70-1	FBgn0001216	Hsc70-1
RpL7A	FBgn0014026	RpL7A
LManII	FBgn0027611	LManII
Fer2LCH	FBgn0015221	Fer2LCH
Prosalpha6	FBgn0250843	ProsÎ±6
Prosalpha6	FBgn0050382	ProsÎ±1R
Prosalpha6	FBgn0263121	ProsÎ±1
Ank	FBgn0011747	Ank
Srp72	FBgn0038810	Srp72
Mi-2	FBgn0262519	Mi-2
CCT6	FBgn0027329	CCT6
GlyRS	FBgn0027088	GlyRS
CG4562	FBgn0038740	CG4562
FKBP59	FBgn0029174	Fkbp59
Ahcy	FBgn0014455	Ahcy
emb	FBgn0020497	emb
CG8184	FBgn0030674	HUWE1
MetRS	FBgn0034401	MetRS
MetRS	FBgn0027083	MetRS-m
CG11876	FBgn0039635	Pdhb
tacc	FBgn0026620	tacc
Trypsin	unknown ID	-
OS=Sus	unknown ID	-
scrofa	unknown ID	-
eIF4A	FBgn0001942	eIF4A
eIF4A	FBgn0037573	CG7483
Amph	FBgn0027356	Amph
Vha55	FBgn0005671	Vha55
CG1674	FBgn0039897	CG1674
CG4752-RA	FBtr0071832	CG4752-RA
Psi	FBgn0014870	Psi
Gabat	FBgn0036927	Gabat
Rab32	FBgn0002567	Rab32
Sh3beta	FBgn0035772	Sh3Î²
CT12127	FBgn0031418	CG3609
bor	FBgn0287225	bor
regucalcin	FBgn0030362	regucalcin
Tango1	FBgn0286898	Tango1
Got2	FBgn0001125	Got2
Got2	FBgn0001124	Got1
Sap-r	FBgn0000416	Sap-r
COX5A	FBgn0019624	COX5A
brp	FBgn0259246	brp
CG9914	FBgn0286508	Had1
Uba2	FBgn0029113	Uba2
TyrRS	FBgn0027080	TyrRS
CPT2	FBgn0035383	CPT2
for	FBgn0000721	for
RpS8	FBgn0039713	RpS8
rept	FBgn0040075	rept
Lsd-2	FBgn0030608	Lsd-2
Gs2	FBgn0001145	Gs2
CG5590	FBgn0039537	Hsdl2
EG:BACR7A4.14	FBgn0040349	CG3699
betaCOP	FBgn0008635	Î²COP
capt	FBgn0261458	capt
Rtnl1	FBgn0053113	Rtnl1
CG8858	FBgn0033698	CG8858
wupA	FBgn0283471	wupA
GlyS	FBgn0266064	GlyS
Tep4	FBgn0041180	Tep4
CG11771	FBgn0039252	CG11771
eIF2alpha	FBgn0261609	eIF2Î±
norpA	FBgn0262738	norpA
ND-42	FBgn0019957	ND-42
eEF1alpha2	FBgn0000557	eEF1Î±2
Gasp	FBgn0026077	Gasp
Ugt	FBgn0014075	Uggt
CG14309	FBgn0038611	CG14309
Syt1	FBgn0004242	Syt1
Syt1	FBgn0004242	Syt1
Sap47	FBgn0013334	Sap47
Mlp84B	FBgn0014863	Mlp84B
Lsd-2	FBgn0030608	Lsd-2
Ars2	FBgn0033062	Ars2
Ars2	FBgn0000124	Ars-region2
KRT1	unknown ID	-
Men	FBgn0002719	Men
CG1674	FBgn0039897	CG1674
Nrx-IV	FBgn0013997	Nrx-IV
CG8223	FBgn0037624	CG8223
Capr	FBgn0042134	Capr
Idgf4	FBgn0026415	Idgf4
Nsf2	FBgn0266464	Nsf2
CG11835	FBgn0031264	CG11835
Fs(2)Ket	FBgn0262743	Fs(2)Ket
rngo	FBgn0030753	rngo
ND-24	FBgn0030853	ND-24
Drp1	FBgn0026479	Drp1
alphaTub85E	FBgn0003886	Î±Tub85E
Lon	FBgn0036892	Lon
VhaSFD	FBgn0027779	VhaSFD
CanA-14F	FBgn0267912	CanA-14F
AGO2	FBgn0087035	AGO2
aralar1	FBgn0028646	aralar1
Pep	FBgn0004401	Pep
Cp1	FBgn0013770	Cp1
dlg1	FBgn0001624	dlg1
dlg1	FBtp0084062	P{hb[Î.dlg1]}
Zn72D	FBgn0263603	Zn72D
Nrd1	FBgn0030344	Nrd1
Cnx99A	FBgn0015622	Cnx99A
CG12163	FBgn0053293	CG33293
CG12163	FBgn0260462	CtsF
ND-PDSW	FBgn0021967	ND-PDSW
CG3107	FBgn0033005	CG3107
Vha44	FBgn0287825	Vha44
Aph4	unknown ID	-
Galk	FBgn0263199	Galk
RpL7	FBgn0005593	RpL7
Tm1	FBgn0003721	Tm1
GstS1	FBgn0010226	GstS1
Lsp2	FBgn0002565	Lsp2
Rpn13	FBgn0033886	Rpn13
caz	FBgn0285954	caz
caz	FBab0045825	Df(1)BSC759
Hsp27	FBgn0001226	Hsp27
msk	FBgn0026252	msk
ND-39	FBgn0037001	ND-39
Gmap	FBgn0027287	Gmap
RpS3A	FBgn0017545	RpS3A
Mp20	FBgn0002789	Mp20
Nup205	FBgn0031078	Nup205
BcDNA:GH08902	FBgn0043783	CG32444
CG10565	FBgn0037051	CG10565
pAbp	FBgn0265297	pAbp
ATPsynO	FBgn0016691	ATPsynO
CG5355	FBgn0032242	CG5355
Zasp52	FBgn0265991	Zasp52
Art1	FBgn0037834	Art1
smid	FBgn0016983	smid
Droj2	FBgn0038145	Droj2
MRP	FBgn0032456	MRP
MRP	FBgn0065098	RNaseMRP:RNA
MRP	FBgn0264695	Mhc
Mpcp	FBgn0026409	Mpcp2
Rpt6	FBgn0020369	Rpt6
Rpt6	FBgn0039788	Rpt6R
Mal-A1	FBgn0002570	Mal-A1
CG6767	FBgn0036030	Prps
LeuRS	FBgn0284253	LeuRS
LeuRS	FBgn0027085	LeuRS-m
CG32473-RC	FBtr0082743	CG32473-RC
Sec31	FBgn0033339	Sec31
Rpn1	FBgn0028695	Rpn1
Mlp60A	FBgn0259209	Mlp60A
Est-6	FBgn0000592	Est-6
nahoda	FBgn0034797	nahoda
up	FBgn0004169	up
up	FBal0017627	up[1]
LysRS	FBgn0027084	LysRS
HIP-R	FBgn0029676	HIP-R
mor	FBgn0002783	mor
Not1	FBgn0085436	Not1
Rnp4F	FBgn0014024	Rnp4F
fln	FBgn0005633	fln
me31B	FBgn0004419	me31B
sqd	FBgn0263396	sqd
CG17337	FBgn0287767	Cndp2
CG9629	FBgn0036857	Aldh7A1
BEST:CK00496	FBgn0035630	CG10576
CG6543	FBgn0033879	Echs1
SerRS	FBgn0031497	SerRS
SerRS	FBgn0021750	SerRS-m
fax	FBgn0014163	fax
jp	FBgn0032129	jp
CG34417	FBgn0085446	CG34417
Tango7	FBgn0033902	eIF3m
Synd	FBgn0053094	Synd
Tm1	FBgn0003721	Tm1
CysRS	FBgn0027091	CysRS
MSBP	FBgn0030703	MSBP
Jafrac1	FBgn0040309	Jafrac1
CG5482	FBgn0034368	zda
up	FBgn0004169	up
up	FBal0017627	up[1]
Rpt1	FBgn0028687	Rpt1
scu	FBgn0021765	scu
Tsf2	FBgn0036299	Tsf2
Rpn13	FBgn0033886	Rpn13
RpL23A	FBgn0026372	RpL23A
Mlc2	FBgn0002773	Mlc2
CG9090-RA	FBtr0086303	Mpcp1-RA
mask	FBgn0043884	mask
Scsalpha	FBgn0004888	ScsÎ±1
aub	FBgn0000146	aub
Cand1	FBgn0027568	Cand1
l(2)37Cc	FBgn0002031	l(2)37Cc
Vha26	FBgn0283535	Vha26
Vha26	FBgn0028662	VhaPPA1-1
Hrb27C	FBgn0004838	Hrb27C
Egm	FBgn0086712	Egm
CG2118	FBgn0039877	Mccc1
Calr	FBgn0005585	Calr
Cyp1	FBgn0004432	Cyp1
spag	FBgn0015544	spag
Hex-A	FBgn0001186	Hex-A
pic	FBgn0260962	pic
Trxr-1	FBgn0020653	Trxr-1
Nmt	FBgn0020392	Nmt
hts	FBgn0263391	hts
CG5642	FBgn0036258	eIF3l
Prosalpha4	FBgn0004066	ProsÎ±4
AnxB10	FBgn0000084	AnxB10
eEF1beta	FBgn0028737	eEF1Î²
CG11473	FBgn0259994	OtopLa
eIF4B	FBgn0020660	eIF4B
CG31075	FBgn0051075	CG31075
ApepP	FBgn0026150	ApepP
Rpt2	FBgn0015282	Rpt2
tud	FBgn0003891	tud
AcCoAS	FBgn0012034	AcCoAS
Sh3beta	FBgn0035772	Sh3Î²
vas	FBgn0283442	vas
CG9281	FBgn0030672	CG9281
eRF3	FBgn0020443	eRF3
eIF-3p66	FBgn0040227	eIF3d1
Dek	FBgn0026533	Dek
Dek	FBgn0025936	Eph
mod	FBgn0002780	mod
mod	FBgn0002781	mod(mdg4)
mod	FBgn0005385	rsd
GstD1	FBgn0001149	GstD1
Klc	FBgn0010235	Klc
Tig	FBgn0011722	Tig
RpL5	FBgn0064225	RpL5
CG2118	FBgn0039877	Mccc1
Trip1	FBgn0015834	eIF3i
dl	FBgn0260632	dl
dl	FBgn0000463	Dl
dl	FBgn0005023	dpl
Rpn5	FBgn0028690	Rpn5
CG8728-RA	FBtr0088882	CG8728-RA
Pka-C1	FBgn0000273	Pka-C1
RpL22	FBgn0015288	RpL22
Etf-QO	FBgn0286783	Etf-QO
Irp-1A	FBgn0024958	Irp-1A
CG16935	FBgn0033883	CG16935
Rme-8	FBgn0015477	Rme-8
CG6028	FBgn0038924	CG6028
inaD	FBgn0001263	inaD
Prx5	FBgn0038570	Prx5
beta'COP	FBgn0025724	Î²'COP
CG6767	FBgn0036030	Prps
Phb2	FBgn0010551	Phb2
CG2691	FBgn0030504	CG2691
lap	FBgn0086372	lap
lap	FBal0011047	lap[1]
CG10417	FBgn0033021	CG10417
nrv2	FBgn0015777	nrv2
nrv2	FBtp0011547	P{nrv2-GAL4.S}
CG8665	FBgn0032945	CG8665
ND-49	FBgn0039909	ND-49
Npl4	FBgn0039348	Npl4
RpLP0	FBgn0000100	RpLP0
Naa15-16	FBgn0031020	Naa15-16
Golgin245	FBgn0034854	Golgin245
RpA-70	FBgn0010173	RpA-70
CG8475	FBgn0031995	CG8475
CG8475	FBgn0083970	CG34134
woc	FBgn0010328	woc
Nurf-38	FBgn0016687	Nurf-38
Cam	FBgn0000253	Cam
Cam	FBgn0264607	CaMKII
jar	FBgn0011225	jar
Srp68	FBgn0035947	Srp68
l(3)72Ab	FBgn0263599	Brr2
bgm	FBgn0027348	bgm
Imp	FBgn0285926	Imp
Imp	FBgn0034535	CG11110
Mbs	FBgn0005536	Mbs
HisRS	FBgn0027087	HisRS
Rpd3	FBgn0015805	HDAC1
BcDNA:GH06032	FBgn0027582	CG6230
CG5177	FBgn0031908	CG5177
Osbp	FBgn0020626	Osbp
Ncc69	FBgn0036279	Ncc69
Syp	FBgn0038826	Syp
RpS9	FBgn0010408	RpS9
Zasp66	FBgn0035917	Zasp66
HisRS	FBgn0027087	HisRS
ATPsynB	FBgn0019644	ATPsynB
whd	FBgn0261862	whd
Fas2	FBgn0000635	Fas2
Dcr-2	FBgn0034246	Dcr-2
Dcr-2	FBtp0036672	P{UAS-Dcr-2.D}
Uch	FBgn0010288	Uch
CG31198	FBgn0051198	CG31198
RpS2	FBgn0004867	RpS2
Sply	FBgn0010591	Sply
Piezo	FBgn0264953	Piezo
piwi	FBgn0004872	piwi
CG9331	FBgn0032889	CG9331
dlg1	FBgn0001624	dlg1
dlg1	FBtp0084062	P{hb[Î.dlg1]}
Rpt3	FBgn0028686	Rpt3
eIF5B	FBgn0026259	eIF5B
tho2	FBgn0031390	tho2
betaTub60D	FBgn0003888	Î²Tub60D
Imp	FBgn0285926	Imp
Imp	FBgn0034535	CG11110
AP-1-2beta	FBgn0010380	AP-1-2Î²
beta-PheRS	FBgn0039175	Î²-PheRS
Rm62	FBgn0003261	Rm62
gammaCOP	FBgn0028968	Î³COP
dlg1	FBgn0001624	dlg1
dlg1	FBtp0084062	P{hb[Î.dlg1]}
Cbp53E	FBgn0004580	Cbp53E
kra	FBgn0250753	kra
kra	FBgn0033402	Myd88
AIF	FBgn0031392	AIF
RpLP2	FBgn0003274	RpLP2
Gbeta76C	FBgn0004623	GÎ²76C
RpL26	FBgn0036825	RpL26
CG15093	FBgn0034390	CG15093
Bruce	FBgn0266717	Bruce
Eps-15	FBgn0035060	Eps-15
CG14207-RB	FBtr0074734	CG14207-RB
pix	FBgn0086706	pix
pix	FBgn0015803	RtGEF
kcc	FBgn0261794	kcc
Treh	FBgn0003748	Treh
Mtp	FBgn0266369	Mtp
ND-30	FBgn0266582	ND-30
Syp	FBgn0038826	Syp
ras	FBgn0003204	ras
ras	FBal0178241	ras[unspecified]
ras	FBgn0003205	Ras85D
ras	FBgn0003206	Ras64B
ArgRS	FBgn0027093	ArgRS
RpL12	FBgn0034968	RpL12
Mal-B2	FBgn0032382	Mal-B2
mys	FBgn0004657	mys
Cyp6d5	FBgn0038194	Cyp6d5
scb	FBgn0286785	scb
ced-6	FBgn0029092	ced-6
Mipp1	FBgn0026061	Mipp1
CG7834	FBgn0039697	CG7834
Glg1	FBgn0264561	Glg1
Ranbp9	FBgn0037894	Ipo9
CaBP1	FBgn0025678	CaBP1
CG32473	FBgn0052473	CG32473
Cyt-c-p	FBgn0284248	Cyt-c-p
RnrL	FBgn0011703	RnrL
nudC	FBgn0021768	nudC
Ndg	FBgn0026403	Ndg
Rpn10	FBgn0015283	Rpn10
awd	FBgn0000150	awd
BEST:CK02656	FBgn0288229	CG3164
CG2658	FBgn0024992	Spg7
RpS27A	FBgn0003942	RpS27A
Prx3	FBgn0038519	Prx3
Sap47	FBgn0013334	Sap47
GstS1	FBgn0010226	GstS1
CG4410	FBgn0052649	Coq8
CG4410	FBgn0052650	CG32650
Pka-R2	FBgn0022382	Pka-R2
Hex-C	FBgn0001187	Hex-C
Thiolase	FBgn0025352	MtpÎ²
Cpr49Ab	FBgn0050042	Cpr49Ab
Zasp67	FBgn0036044	Zasp67
par-1	FBgn0260934	par-1
puf	FBgn0039214	puf
puf	FBgn0003164	puff
BcDNA:GH10614	FBgn0027552	CG10863
pzg	FBgn0259785	pzg
r-l	FBgn0003257	r-l
Gel	FBgn0010225	Gel
CalpA	FBgn0012051	CalpA
Rpn6	FBgn0028689	Rpn6
Inos	FBgn0025885	Inos
Mcm3	FBgn0284442	Mcm3
Nup50	FBgn0033264	Nup50
CG14526	FBgn0027578	Nepl21
CG30382	FBgn0050382	ProsÎ±1R
HnRNP-K	FBgn0267791	HnRNP-K
Dlic	FBgn0030276	Dlic
Amy-p	FBgn0000079	Amy-p
CaMKII	FBgn0264607	CaMKII
eIF-2beta	FBgn0004926	eIF2Î²
Sucb	FBgn0029118	ScsÎ²G
Pgd	FBgn0004654	Pgd
Prat2	FBgn0041194	Prat2
Eb1	FBgn0027066	Eb1
Nop60B	FBgn0259937	Nop60B
NUCB1	FBgn0052190	NUCB1
alpha-Est7	FBgn0015575	Î±-Est7
D2hgdh	FBgn0023507	D2hgdh
Cyp28d1	FBgn0031689	Cyp28d1
